الأمانة,البلدية,البلدية التي درست الطلب,تاريخ اصدار الرخصة ميلادي,تاريخ نهاية الرخصة ميلادي,تاريخ تقديم الطلب,الغرض,حالة الرخصة,حالة الطلب,نوع سند الملكية
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,9/12/24 12:00:00 AM,8/11/27 12:00:00 AM,9/4/24 8:30:29 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,7/31/24 12:00:00 AM,7/20/25 12:00:00 AM,6/13/24 11:00:14 AM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية شمال سكاكا,بلدية شمال سكاكا,8/1/22 12:00:00 AM,6/28/25 12:00:00 AM,10/20/24 4:52:17 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,6/28/20 12:00:00 AM,5/15/25 12:00:00 AM,11/18/24 8:54:31 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,8/18/80 12:00:00 AM,7/17/83 12:00:00 AM,3/31/24 10:02:39 PM,إدخال رخصة انشائية قديمة,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,8/14/24 12:00:00 AM,8/4/25 12:00:00 AM,8/13/24 11:15:39 AM,إصدار تقرير فني,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,2/12/20 12:00:00 AM,4/14/25 12:00:00 AM,4/25/24 1:56:27 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية شمال سكاكا,بلدية شمال سكاكا,6/29/88 12:00:00 AM,5/29/91 12:00:00 AM,10/19/24 10:05:58 AM,إدخال رخصة انشائية قديمة,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,11/30/24 12:00:00 AM,11/19/25 12:00:00 AM,11/26/24 1:18:19 PM,إصدار تقرير فني,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,3/17/24 12:00:00 AM,3/7/25 12:00:00 AM,3/12/24 10:17:12 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,6/22/21 12:00:00 AM,5/10/25 12:00:00 AM,5/5/24 12:00:49 PM,تجديد رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,12/26/24 12:00:00 AM,12/16/25 12:00:00 AM,12/25/24 5:29:10 PM,إصدار تقرير فني,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,10/9/24 12:00:00 AM,9/7/27 12:00:00 AM,10/2/24 8:57:44 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,1/31/24 12:00:00 AM,12/28/26 12:00:00 AM,1/31/24 10:46:32 AM,إصدار رخصة بناء,سارية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية شمال سكاكا,بلدية شمال سكاكا,9/30/23 12:00:00 AM,8/28/26 12:00:00 AM,3/10/24 4:24:17 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,3/5/14 12:00:00 AM,5/5/25 12:00:00 AM,5/12/24 10:20:45 AM,نقل ملكية رخصة بناء فورية,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية أبوعجرم,بلدية أبوعجرم,5/13/24 12:00:00 AM,5/3/25 12:00:00 AM,5/6/24 11:34:14 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,5/25/24 12:00:00 AM,4/24/27 12:00:00 AM,12/17/24 6:16:45 PM,نقل ملكية رخصة بناء فورية,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,1/30/24 12:00:00 AM,1/18/25 12:00:00 AM,1/29/24 4:35:39 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,8/28/24 12:00:00 AM,8/18/25 12:00:00 AM,8/27/24 12:49:11 PM,إصدار تقرير فني,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية شمال سكاكا,بلدية شمال سكاكا,6/6/11 12:00:00 AM,10/22/25 12:00:00 AM,10/20/24 6:23:33 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,3/25/24 12:00:00 AM,3/15/25 12:00:00 AM,3/23/24 11:11:52 PM,إصدار تقرير فني,منتهية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,3/18/24 12:00:00 AM,2/15/27 12:00:00 AM,3/18/24 12:47:24 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,4/15/21 12:00:00 AM,3/13/24 12:00:00 AM,5/23/24 10:37:46 AM,نقل ملكية رخصة بناء فورية,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,3/5/24 12:00:00 AM,2/23/25 12:00:00 AM,2/29/24 8:37:05 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,10/2/24 12:00:00 AM,8/31/27 12:00:00 AM,10/1/24 11:04:17 PM,إصدار رخصة بناء,سارية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية العيساويه,بلدية العيساويه,2/14/24 12:00:00 AM,2/3/25 12:00:00 AM,2/13/24 5:54:36 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية شمال سكاكا,بلدية شمال سكاكا,5/22/25 12:00:00 AM,4/19/28 12:00:00 AM,9/29/24 7:41:09 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,2/28/25 12:00:00 AM,1/26/28 12:00:00 AM,5/1/24 5:35:33 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,4/7/24 12:00:00 AM,3/28/25 12:00:00 AM,4/3/24 1:28:03 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,1/28/80 12:00:00 AM,5/1/25 12:00:00 AM,5/11/24 10:27:18 AM,تجديد رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,10/18/17 12:00:00 AM,9/16/20 12:00:00 AM,9/24/24 7:50:52 PM,تصحيح بيانات رخصة انشائية,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية جنوب سكاكا - قارا,بلدية جنوب سكاكا - قارا,11/13/23 12:00:00 AM,10/10/26 12:00:00 AM,5/27/24 9:55:18 AM,تعديل بيانات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,1/9/25 12:00:00 AM,12/7/27 12:00:00 AM,12/5/24 12:36:00 PM,إصدار رخصة بناء,سارية,منتهى,عقد استثماري - تخصيص حكومي
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,2/11/24 12:00:00 AM,1/31/25 12:00:00 AM,2/7/24 5:17:47 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,6/10/24 12:00:00 AM,5/10/27 12:00:00 AM,6/6/24 10:33:47 AM,إصدار رخصة تصحيح وضع مبنى قائم,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,6/27/11 12:00:00 AM,5/24/14 12:00:00 AM,9/1/24 6:49:38 PM,نقل ملكية رخصة بناء فورية,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,8/28/24 12:00:00 AM,7/28/27 12:00:00 AM,8/21/24 10:36:14 AM,إصدار رخصة بناء,سارية,منتهى,عقد استثماري - تخصيص حكومي
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,5/27/24 12:00:00 AM,5/17/25 12:00:00 AM,5/26/24 5:42:47 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية شمال سكاكا,بلدية شمال سكاكا,11/21/13 12:00:00 AM,8/20/25 12:00:00 AM,7/29/24 11:52:20 AM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,1/30/24 12:00:00 AM,1/18/25 12:00:00 AM,1/29/24 12:01:51 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية أبوعجرم,بلدية أبوعجرم,1/23/24 12:00:00 AM,12/20/26 12:00:00 AM,1/23/24 4:17:49 PM,إصدار رخصة بناء,سارية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,9/29/24 12:00:00 AM,8/28/27 12:00:00 AM,9/19/24 11:33:37 AM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,2/28/24 12:00:00 AM,1/26/27 12:00:00 AM,2/21/24 8:39:54 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,6/4/24 12:00:00 AM,5/4/27 12:00:00 AM,7/11/24 10:39:01 AM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,12/8/18 12:00:00 AM,9/29/25 12:00:00 AM,9/18/24 5:38:22 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,4/22/24 12:00:00 AM,4/11/25 12:00:00 AM,4/21/24 8:41:48 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,8/7/24 12:00:00 AM,7/28/25 12:00:00 AM,7/29/24 9:57:38 PM,رخصة ترميم,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,7/1/13 12:00:00 AM,5/28/16 12:00:00 AM,3/26/24 12:40:42 AM,نقل ملكية رخصة بناء فورية,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,7/28/24 12:00:00 AM,7/17/25 12:00:00 AM,6/26/24 7:49:01 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,2/12/79 12:00:00 AM,2/2/80 12:00:00 AM,2/29/24 12:43:47 PM,إدخال رخصة انشائية قديمة,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,12/4/24 12:00:00 AM,11/2/27 12:00:00 AM,11/26/24 9:46:50 AM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,12/31/11 12:00:00 AM,6/1/25 12:00:00 AM,6/11/24 10:00:38 AM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,1/30/24 12:00:00 AM,1/18/25 12:00:00 AM,1/29/24 6:17:56 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,12/9/23 12:00:00 AM,11/5/26 12:00:00 AM,1/6/24 12:33:08 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,12/15/24 12:00:00 AM,11/13/27 12:00:00 AM,10/20/24 6:02:01 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية شمال سكاكا,بلدية شمال سكاكا,12/17/24 12:00:00 AM,11/15/27 12:00:00 AM,9/2/24 8:38:13 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية أبوعجرم,بلدية أبوعجرم,1/1/25 12:00:00 AM,11/29/27 12:00:00 AM,12/30/24 9:37:23 AM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية أبوعجرم,بلدية أبوعجرم,9/11/24 12:00:00 AM,8/10/27 12:00:00 AM,9/10/24 1:06:02 PM,إصدار رخصة تصحيح وضع مبنى قائم,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,11/13/24 12:00:00 AM,11/2/25 12:00:00 AM,11/11/24 6:30:45 PM,إصدار تقرير فني,سارية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,1/28/24 12:00:00 AM,12/25/26 12:00:00 AM,1/25/24 1:59:19 PM,إصدار رخصة بناء,سارية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية أبوعجرم,بلدية أبوعجرم,10/3/24 12:00:00 AM,9/22/25 12:00:00 AM,10/1/24 5:52:38 PM,إصدار تقرير فني,سارية,منتهى,عقد استثماري - تخصيص حكومي
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,6/24/21 12:00:00 AM,5/22/24 12:00:00 AM,2/15/24 12:35:26 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,4/21/24 12:00:00 AM,4/10/25 12:00:00 AM,4/20/24 10:39:55 AM,إصدار تقرير فني,منتهية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية زلوم,بلدية زلوم,9/3/19 12:00:00 AM,7/14/25 12:00:00 AM,7/14/24 10:55:04 AM,تجديد رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية شمال سكاكا,بلدية شمال سكاكا,3/3/21 12:00:00 AM,1/31/24 12:00:00 AM,1/20/24 6:55:05 PM,نقل ملكية رخصة بناء فورية,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,11/21/23 12:00:00 AM,10/18/26 12:00:00 AM,5/5/24 12:29:50 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,5/12/24 12:00:00 AM,5/2/25 12:00:00 AM,5/6/24 9:57:41 PM,تجهيز موقع,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,7/1/24 12:00:00 AM,6/21/25 12:00:00 AM,6/3/24 2:42:45 PM,رخصة ترميم,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,12/5/13 12:00:00 AM,11/1/16 12:00:00 AM,3/30/24 11:31:28 AM,نقل ملكية رخصة بناء فورية,منتهية,منتهى,عقد استثماري - تخصيص حكومي
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,9/27/20 12:00:00 AM,9/30/25 12:00:00 AM,9/25/24 7:53:07 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,11/23/24 12:00:00 AM,10/21/27 12:00:00 AM,10/17/24 6:08:54 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,6/23/21 12:00:00 AM,7/19/25 12:00:00 AM,7/29/24 8:44:13 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,1/2/25 12:00:00 AM,11/30/27 12:00:00 AM,12/26/24 8:03:51 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية زلوم,بلدية زلوم,12/17/24 12:00:00 AM,11/15/27 12:00:00 AM,12/1/24 5:56:23 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,1/15/24 12:00:00 AM,12/12/26 12:00:00 AM,1/14/24 6:15:39 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,11/17/24 12:00:00 AM,10/15/27 12:00:00 AM,11/14/24 10:12:40 AM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,3/3/13 12:00:00 AM,2/21/14 12:00:00 AM,8/21/24 2:12:54 PM,إدخال رخصة انشائية قديمة,منتهية,منتهى,عقد استثماري - تخصيص حكومي
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,12/31/24 12:00:00 AM,11/28/27 12:00:00 AM,12/29/24 12:11:43 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,1/8/25 12:00:00 AM,12/6/27 12:00:00 AM,12/23/24 11:15:13 AM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية صوير,بلدية صوير,8/7/23 12:00:00 AM,7/5/26 12:00:00 AM,8/1/24 12:45:03 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,6/15/21 12:00:00 AM,12/19/25 12:00:00 AM,12/30/24 9:02:39 AM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,10/24/07 12:00:00 AM,7/13/25 12:00:00 AM,7/23/24 6:43:20 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,1/27/24 12:00:00 AM,12/24/26 12:00:00 AM,10/27/24 9:00:01 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,8/21/24 12:00:00 AM,7/21/27 12:00:00 AM,8/14/24 6:18:08 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية جنوب سكاكا - قارا,بلدية جنوب سكاكا - قارا,5/1/24 12:00:00 AM,3/30/27 12:00:00 AM,5/1/24 10:33:16 AM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,4/19/21 12:00:00 AM,3/7/25 12:00:00 AM,10/15/24 10:23:23 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,11/16/20 12:00:00 AM,10/16/23 12:00:00 AM,2/3/24 1:29:30 PM,نقل ملكية رخصة بناء فورية,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,12/29/09 12:00:00 AM,7/15/25 12:00:00 AM,7/24/24 5:18:27 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,7/29/24 12:00:00 AM,6/28/27 12:00:00 AM,7/14/24 10:30:54 AM,إصدار رخصة بناء,سارية,منتهى,عقد استثماري - تخصيص حكومي
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,3/11/21 12:00:00 AM,7/13/25 12:00:00 AM,7/17/24 9:03:07 PM,تجديد رخصة بناء,منتهية,منتهى,عقد اسكان
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,4/15/22 12:00:00 AM,3/14/25 12:00:00 AM,5/1/24 8:06:53 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,5/8/99 12:00:00 AM,4/4/02 12:00:00 AM,4/20/24 11:14:19 AM,إدخال رخصة انشائية قديمة,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,2/3/13 12:00:00 AM,4/27/25 12:00:00 AM,5/8/24 7:07:59 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,3/26/12 12:00:00 AM,3/14/13 12:00:00 AM,1/30/24 10:23:56 AM,تصحيح بيانات رخصة انشائية,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,8/8/24 12:00:00 AM,7/8/27 12:00:00 AM,6/4/24 8:56:09 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,3/4/24 12:00:00 AM,2/22/25 12:00:00 AM,2/29/24 9:18:12 AM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,9/24/12 12:00:00 AM,9/13/13 12:00:00 AM,8/26/24 7:58:19 PM,إدخال رخصة انشائية قديمة,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,5/6/14 12:00:00 AM,4/4/17 12:00:00 AM,5/15/24 5:07:20 PM,إدخال رخصة انشائية قديمة,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,10/26/20 12:00:00 AM,12/5/25 12:00:00 AM,12/5/24 11:01:39 AM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,8/12/24 12:00:00 AM,7/12/27 12:00:00 AM,8/6/24 6:26:25 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,2/8/77 12:00:00 AM,8/24/25 12:00:00 AM,9/2/24 5:40:04 PM,تجديد رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,3/25/01 12:00:00 AM,5/12/25 12:00:00 AM,5/6/24 7:39:52 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية الناصفه,بلدية الناصفه,6/8/23 12:00:00 AM,5/6/26 12:00:00 AM,5/8/24 6:06:13 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,عقد استثماري - تخصيص حكومي
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,9/20/08 12:00:00 AM,8/20/11 12:00:00 AM,9/2/24 12:36:26 PM,نقل ملكية رخصة بناء فورية,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية شمال سكاكا,بلدية شمال سكاكا,7/16/24 12:00:00 AM,6/15/27 12:00:00 AM,7/9/24 5:08:33 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,10/12/23 12:00:00 AM,9/9/26 12:00:00 AM,3/4/24 4:18:51 PM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,عقد استثماري - تخصيص حكومي
أمانة منطقة الجوف,بلدية طبرجل,بلدية طبرجل,1/28/19 12:00:00 AM,8/19/25 12:00:00 AM,8/18/24 10:08:40 AM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,12/13/05 12:00:00 AM,11/8/08 12:00:00 AM,2/29/24 11:21:03 AM,إدخال رخصة انشائية قديمة,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,4/16/20 12:00:00 AM,3/15/23 12:00:00 AM,11/24/24 12:50:08 PM,نقل ملكية رخصة بناء فورية,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية شمال سكاكا,بلدية شمال سكاكا,7/1/24 12:00:00 AM,5/31/27 12:00:00 AM,6/30/24 7:56:00 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية القريات,بلدية القريات,7/29/24 12:00:00 AM,7/18/25 12:00:00 AM,7/1/24 12:33:35 PM,إصدار تقرير فني,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,10/8/24 12:00:00 AM,9/6/27 12:00:00 AM,9/10/24 8:48:43 PM,إصدار رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,3/27/71 12:00:00 AM,10/10/25 12:00:00 AM,10/8/24 9:47:24 AM,إضافة وتعديل مكونات رخصة بناء,سارية,منتهى,صك
أمانة منطقة الجوف,بلدية وسط سكاكا,بلدية وسط سكاكا,5/30/21 12:00:00 AM,4/16/25 12:00:00 AM,11/20/24 5:29:58 PM,إضافة وتعديل مكونات رخصة بناء,منتهية,منتهى,صك
أمانة منطقة الجوف,بلدية دومة الجندل,بلدية دومة الجندل,4/28/24 12:00:00 AM,3/27/27 12:00:00 AM,4/25/24 11:39:06 AM,إصدار رخصة بناء,سارية,منتهى,عقد اسكان
